Treatment,Jar,Snails,Eggs_Day2,Eggs_Day5,Eggs_Day7,Eggs_Day9,Eggs_Day12,Eggs_Day14,Eggs_Day16,Eggs_Day19,Eggs_Day21,Eggs_Day23,Eggs_Day26,Eggs_Day28,Cummulative Eggs,
Ni0,4,Green31-35,0,1,0,130,725,46,0,399,268,110,522,38,2239,2871.333333
Ni0,12,Green36-40,0,357,229,24,713,0,488,291,158,366,464,0,3090,
Ni0,18,Green41-45,95,418,0,149,540,344,0,130,434,125,384,169,2788,
Ni0,23,Green46-50,521,576,115,7,689,135,353,444,244,131,342,376,3933,
Ni0,28,Green51-55,241,19,446,126,267,376,222,450,0,245,383,206,2981,
Ni0,31,Green56-60,0,110,16,139,408,255,150,549,107,463,0,0,2197,
Ni1,5,Green1-5,0,493,210,0,444,0,131,375,377,0,474,0,2504,2872.166667
Ni1,10,Green6-10,24,130,239,10,549,336,102,449,134,62,337,226,2598,
Ni1,13,Green11-15,8,418,40,0,433,27,557,330,125,129,584,0,2651,
Ni1,22,Green16-20,0,444,0,228,360,270,546,353,196,379,224,236,3236,
Ni1,27,Green21-25,72,186,414,0,516,108,227,482,124,563,420,0,3112,
Ni1,36,Green26-30,309,168,340,156,55,151,531,554,216,191,461,0,3132,
Ni2,1,Blue1-5,190,21,532,142,541,103,129,549,109,223,383,0,2922,2822.166667
Ni2,8,Blue6-10,0,255,9,0,527,121,0,473,177,258,466,210,2496,
Ni2,17,Blue11-15,392,0,129,385,182,96,135,387,423,319,167,258,2873,
Ni2,21,Blue16-20,0,0,530,90,668,0,0,780,138,501,335,349,3391,
Ni2,25,Blue21-25,295,260,131,0,403,0,401,136,249,134,315,263,2587,
Ni2,33,Blue26-30,416,123,371,303,397,135,5,270,148,140,250,106,2664,
Ni3,6,White1-5,20,242,0,421,456,220,310,365,246,259,649,349,3537,3144.833333
Ni3,11,White6-10,235,263,178,451,529,319,204,324,214,172,368,112,3369,
Ni3,16,White11-15,0,0,159,343,732,0,108,0,644,0,401,107,2494,
Ni3,19,White16-20,0,299,326,225,842,106,377,509,213,398,519,0,3814,
Ni3,26,White21-25,207,139,351,0,379,199,242,368,0,102,320,141,2448,
Ni3,35,White26-30,193,406,0,89,422,359,146,516,0,271,445,360,3207,
Ni4,3,Yellow1-5,0,145,0,543,532,0,496,631,0,0,599,0,2946,3112.833333
Ni4,9,Yellow6-10,469,0,339,163,635,113,234,537,0,351,473,125,3439,
Ni4,14,Yellow11-15,565,236,0,106,528,378,342,125,379,302,343,209,3513,
Ni4,20,Yellow16-20,20,437,0,99,619,216,0,508,96,350,238,117,2700,
Ni4,29,Yellow21-25,68,368,0,0,595,0,333,337,115,276,391,0,2483,
Ni4,34,Yellow26-30,206,152,639,95,691,0,441,433,143,251,438,107,3596,
Ni5,2,Red1-5,118,123,5,237,563,265,113,345,353,234,284,194,2834,3055.166667
Ni5,7,Red6-10,37,356,0,111,673,0,518,457,124,0,556,0,2832,
Ni5,15,Red11-15,0,126,346,331,0,0,343,442,228,0,605,91,2512,
Ni5,24,Red16-20,0,267,485,0,526,104,247,661,98,442,431,0,3261,
Ni5,30,Red21-25,0,563,152,368,614,362,0,556,211,96,370,259,3551,
Ni5,32,Red26-30,223,249,220,184,709,0,116,592,146,322,515,65,3341,
