Hour,ExposureDay,Day,Ni_Snail,Ni_Water
0,0,45,0,54.6
1,0.041666667,45.04166667,0.052965711,54.6
2,0.083333333,45.08333333,0.104489558,54.6
3,0.125,45.125,0.154610791,54.6
4,0.166666667,45.16666667,0.203367594,54.6
5,0.208333333,45.20833333,0.250797111,54.6
6,0.25,45.25,0.296935472,54.6
7,0.291666667,45.29166667,0.341817828,54.6
8,0.333333333,45.33333333,0.385478368,54.6
9,0.375,45.375,0.427950356,54.6
10,0.416666667,45.41666667,0.469266146,54.6
11,0.458333333,45.45833333,0.509457212,54.6
12,0.5,45.5,0.548554173,54.6
13,0.541666667,45.54166667,0.586586813,54.6
14,0.583333333,45.58333333,0.623584106,54.6
15,0.625,45.625,0.659574236,54.6
16,0.666666667,45.66666667,0.694584621,54.6
17,0.708333333,45.70833333,0.728641933,54.6
18,0.75,45.75,0.761772116,54.6
19,0.791666667,45.79166667,0.794000409,54.6
20,0.833333333,45.83333333,0.825351365,54.6
21,0.875,45.875,0.855848866,54.6
22,0.916666667,45.91666667,0.885516145,54.6
23,0.958333333,45.95833333,0.914375804,54.6
24,1,46,0.942449829,54.6
25,1.041666667,46.04166667,0.969759605,54.6
26,1.083333333,46.08333333,0.996325938,54.6
27,1.125,46.125,1.022169066,54.6
28,1.166666667,46.16666667,1.047308678,54.6
29,1.208333333,46.20833333,1.071763923,54.6
30,1.25,46.25,1.095553434,54.6
31,1.291666667,46.29166667,1.118695332,54.6
32,1.333333333,46.33333333,1.141207247,54.6
33,1.375,46.375,1.16310633,54.6
34,1.416666667,46.41666667,1.184409262,54.6
35,1.458333333,46.45833333,1.205132273,54.6
36,1.5,46.5,1.22529115,54.6
37,1.541666667,46.54166667,1.244901251,54.6
38,1.583333333,46.58333333,1.263977513,54.6
39,1.625,46.625,1.282534469,54.6
40,1.666666667,46.66666667,1.300586257,54.6
41,1.708333333,46.70833333,1.318146629,54.6
42,1.75,46.75,1.335228961,54.6
43,1.791666667,46.79166667,1.351846268,54.6
44,1.833333333,46.83333333,1.368011209,54.6
45,1.875,46.875,1.383736098,54.6
46,1.916666667,46.91666667,1.399032915,54.6
47,1.958333333,46.95833333,1.413913312,54.6
48,2,47,1.428388626,54.6
49,2.041666667,47.04166667,1.442469885,54.6
50,2.083333333,47.08333333,1.456167815,54.6
51,2.125,47.125,1.469492852,54.6
52,2.166666667,47.16666667,1.482455147,54.6
53,2.208333333,47.20833333,1.495064574,54.6
54,2.25,47.25,1.50733074,54.6
55,2.291666667,47.29166667,1.519262989,54.6
56,2.333333333,47.33333333,1.530870412,54.6
57,2.375,47.375,1.54216185,54.6
58,2.416666667,47.41666667,1.553145905,54.6
59,2.458333333,47.45833333,1.563830947,54.6
60,2.5,47.5,1.574225113,54.6
61,2.541666667,47.54166667,1.584336323,54.6
62,2.583333333,47.58333333,1.59417228,54.6
63,2.625,47.625,1.603740477,54.6
64,2.666666667,47.66666667,1.613048202,54.6
65,2.708333333,47.70833333,1.622102547,54.6
66,2.75,47.75,1.630910409,54.6
67,2.791666667,47.79166667,1.639478498,54.6
68,2.833333333,47.83333333,1.647813342,54.6
69,2.875,47.875,1.655921289,54.6
70,2.916666667,47.91666667,1.663808517,54.6
71,2.958333333,47.95833333,1.671481035,54.6
72,3,48,1.678944686,54.6
73,3.041666667,48.04166667,1.633239446,54.6
74,3.083333333,48.08333333,1.588778422,54.6
75,3.125,48.125,1.545527742,54.6
76,3.166666667,48.16666667,1.503454459,54.6
77,3.208333333,48.20833333,1.462526519,54.6
78,3.25,48.25,1.422712745,54.6
79,3.291666667,48.29166667,1.383982805,54.6
80,3.333333333,48.33333333,1.346307194,54.6
81,3.375,48.375,1.309657212,54.6
82,3.416666667,48.41666667,1.274004938,54.6
83,3.458333333,48.45833333,1.239323211,54.6
84,3.5,48.5,1.205585611,54.6
85,3.541666667,48.54166667,1.172766436,54.6
86,3.583333333,48.58333333,1.140840684,54.6
87,3.625,48.625,1.109784034,54.6
88,3.666666667,48.66666667,1.079572828,54.6
89,3.708333333,48.70833333,1.050184048,54.6
90,3.75,48.75,1.021595308,54.6
91,3.791666667,48.79166667,0.993784827,54.6
92,3.833333333,48.83333333,0.966731421,54.6
93,3.875,48.875,0.940414478,54.6
94,3.916666667,48.91666667,0.91481395,54.6
95,3.958333333,48.95833333,0.889910336,54.6
96,4,49,0.865684663,54.6
97,4.041666667,49.04166667,0.842118476,54.6
98,4.083333333,49.08333333,0.819193821,54.6
99,4.125,49.125,0.796893235,54.6
100,4.166666667,49.16666667,0.77519973,54.6
101,4.208333333,49.20833333,0.754096777,54.6
102,4.25,49.25,0.733568302,54.6
103,4.291666667,49.29166667,0.713598666,54.6
104,4.333333333,49.33333333,0.694172655,54.6
105,4.375,49.375,0.67527547,54.6
106,4.416666667,49.41666667,0.656892716,54.6
107,4.458333333,49.45833333,0.639010389,54.6
108,4.5,49.5,0.621614864,54.6
109,4.541666667,49.54166667,0.604692892,54.6
110,4.583333333,49.58333333,0.588231579,54.6
111,4.625,49.625,0.572218386,54.6
112,4.666666667,49.66666667,0.556641113,54.6
113,4.708333333,49.70833333,0.541487895,54.6
114,4.75,49.75,0.526747187,54.6
115,4.791666667,49.79166667,0.512407759,54.6
116,4.833333333,49.83333333,0.498458687,54.6
117,4.875,49.875,0.484889346,54.6
118,4.916666667,49.91666667,0.471689397,54.6
119,4.958333333,49.95833333,0.458848785,54.6
120,5,50,0.446357728,54.6
121,5.041666667,50.04166667,0.43420671,54.6
122,5.083333333,50.08333333,0.422386475,54.6
123,5.125,50.125,0.410888017,54.6
124,5.166666667,50.16666667,0.399702577,54.6
125,5.208333333,50.20833333,0.388821633,54.6
126,5.25,50.25,0.378236897,54.6
127,5.291666667,50.29166667,0.367940306,54.6
128,5.333333333,50.33333333,0.357924014,54.6
129,5.375,50.375,0.348180391,54.6
130,5.416666667,50.41666667,0.338702016,54.6
131,5.458333333,50.45833333,0.329481666,54.6
132,5.5,50.5,0.320512319,54.6
133,5.541666667,50.54166667,0.31178714,54.6
134,5.583333333,50.58333333,0.303299484,54.6
135,5.625,50.625,0.295042883,54.6
136,5.666666667,50.66666667,0.287011049,54.6
137,5.708333333,50.70833333,0.279197862,54.6
138,5.75,50.75,0.27159737,54.6
139,5.791666667,50.79166667,0.264203783,54.6
140,5.833333333,50.83333333,0.257011469,54.6
141,5.875,50.875,0.250014949,54.6
142,5.916666667,50.91666667,0.243208892,54.6
143,5.958333333,50.95833333,0.236588114,54.6
144,6,51,0.23014757,54.6
145,6.041666667,51.04166667,0.223882355,54.6
146,6.083333333,51.08333333,0.217787695,54.6
147,6.125,51.125,0.211858948,54.6
148,6.166666667,51.16666667,0.206091596,54.6
149,6.208333333,51.20833333,0.200481247,54.6
150,6.25,51.25,0.195023626,54.6
151,6.291666667,51.29166667,0.189714576,54.6
152,6.333333333,51.33333333,0.184550052,54.6
153,6.375,51.375,0.17952612,54.6
154,6.416666667,51.41666667,0.174638952,54.6
155,6.458333333,51.45833333,0.169884826,54.6
156,6.5,51.5,0.165260119,54.6
157,6.541666667,51.54166667,0.160761309,54.6
158,6.583333333,51.58333333,0.156384968,54.6
159,6.625,51.625,0.152127763,54.6
160,6.666666667,51.66666667,0.147986449,54.6
161,6.708333333,51.70833333,0.143957874,54.6
162,6.75,51.75,0.140038966,54.6
163,6.791666667,51.79166667,0.136226741,54.6
164,6.833333333,51.83333333,0.132518295,54.6
165,6.875,51.875,0.128910803,54.6
166,6.916666667,51.91666667,0.125401515,54.6
167,6.958333333,51.95833333,0.12198776,54.6
168,7,52,0.118666936,54.6
